id,uuid,data
1,dbe7fd50-3423-4b7d-8e1b-4958b4e13617,"# The Aptos Blockchain: Safe, Scalable, and Upgradeable Web3 Infrastructure

## Abstract

The rise of blockchains as a new Internet infrastructure has led to developers deploying tens of thousands of decentralized applications at rapidly growing rates. Unfortunately, blockchain usage is not yet ubiquitous due to frequent outages, high costs, low throughput limits, and numerous security concerns. To enable mass adoption in the web3 era, blockchain infrastructure needs to follow the path of cloud infrastructure as a trusted, scalable, cost-efficient, and continually improving platform for building widely-used applications.

"
2,72c12667-8725-41e9-a6ea-a65201742728," 

We present the *Aptos blockchain*, designed with scalability, safety, reliability, and upgradeability as key principles, to address these challenges. The Aptos blockchain has been developed over the past three years by over 350+ developers across the globe [1]. It offers new and novel innovations in consensus, smart contract design, system security, performance, and decentralization. The combination of these technologies will provide a fundamental building block to bring web3 to the masses:

"
3,31488e4c-d6a1-4763-822b-79a74503d70d," 

* First, the Aptos blockchain natively integrates and internally uses the *Move language* for fast and secure transaction execution [2]. The *Move prover*, a formal verifier for smart contracts written in the Move language, provides additional safeguards for contract invariants and behavior. This focus on security allows developers to better protect their software from malicious entities.

"
4,b4ef84e2-aea5-41b4-9782-ad8e50bf1d31," 

* Second, the Aptos data model enables flexible key management and hybrid custodial options. This, alongside transaction transparency prior to signing and practical light client protocols, provides a safer and more trustworthy user experience.

"
5,5a1e2718-965c-4317-a32a-65129b87bf2d," 

* Third, to achieve high throughput and low latency, the Aptos blockchain leverages a pipelined and modular approach for the key stages of transaction processing. Specifically, transaction dissemination, block metadata ordering, parallel transaction execution, batch storage, and ledger certification all operate concurrently. This approach fully leverages all available physical resources, improves hardware efficiency, and enables highly parallel execution.

"
6,6b8690cb-cc46-4c97-ad6e-56e7d79f2994," 

* Fourth, unlike other parallel execution engines that break transaction atomicity by requiring upfront knowledge of the data to be read and written, the Aptos blockchain does not put such limitations on developers. It can efficiently support atomicity with arbitrarily complex transactions, enabling higher throughput and lower latency for real-world applications and simplifying development.

"
7,fa636ca8-dd48-4960-b020-8ccd3123b799," 

* Fifth, the Aptos modular architecture design supports client flexibility and optimizes for frequent and instant upgrades. Moreover, to rapidly deploy new technology innovations and support new web3 use cases, the Aptos blockchain provides embedded on-chain change management protocols.

"
8,3b555135-448b-4f58-9aee-91b3ce573a86," 


* Finally, the Aptos blockchain is experimenting with future initiatives to scale beyond individual validator performance: its modular design and parallel execution engine support internal sharding of a validator and homogeneous state sharding provides the potential for horizontal throughput scalability without adding additional complexity for node operators.

"
9,3f49320d-eafb-4561-9289-465e5505fdd2," 

## 1 Introduction
In the web2 version of the Internet, services such as messaging, social media, finance, gaming, shop- ping, and audio/video streaming, are provided by centralized companies that control direct access to user data (e.g., Google, Amazon, Apple, and Meta). These companies develop infrastructure using application-specific software optimized for targeted use cases and leverage cloud infrastructures to de- ploy these applications to users. Cloud infrastructure provides access to virtualized and/or physical infrastructure services, such as rented virtual machines (VMs) and bare metal hardware operating inside data centers worldwide (e.g., AWS, Azure, and Google Cloud). As a result, building web2 Internet services that can scale to billions of users has never been easier than it is today. However, web2 requires that users place explicit trust in centralized entities, a requirement that has become increasingly concerning to society.
"
10,39c7a514-eebf-45ee-872f-84830fa244ac,"

To combat this concern, a new Internet age has begun: web3. In the web3 version of the Internet, blockchains have emerged to provide decentralized, immutable ledgers that enable users to interact with one another securely and reliably, all without requiring trust in controlling intermediaries or centralized entities. Similar to how web2 Internet services and applications rely on cloud infrastructure as building blocks, decentralized applications can use blockchains as a decentralized infrastructure layer to reach billions of users across the world.
"
11,bf5069f4-27a0-402d-97d8-e944428ffc46,"

However, despite the existence of many blockchains today, widespread adoption of web3 has not yet taken place [3]. While technology continues to advance the industry, existing blockchains are unreliable, impose high transaction fees for users, have low throughput limitations, suffer regular asset losses due to security issues, and cannot support real-time responsiveness. In comparison to how cloud infrastructure has enabled web2 services to reach billions, blockchains have not yet enabled web3 applications to do the same.
"
12,33940043-f065-44a4-b087-5f1491ff2311,"

## 2 The Aptos vision
The Aptos vision is to deliver a blockchain that can bring mainstream adoption to web3 and empower an ecosystem of decentralized applications to solve real-world user problems. Our mission is to advance the state-of-the-art in blockchain reliability, safety, and performance by providing a flexible and modular blockchain architecture. This architecture should support frequent upgrades, fast adoption of the latest technology advancements, and first-class support for new and emerging use cases.
"
13,db60de80-f909-44fc-8b15-4eefd48ff41b,"

We envision a decentralized, secure, and scalable network governed and operated by the community that uses it. When infrastructure demands grow across the world, the computational resources of the blockchain scale up horizontally and vertically to meet those needs. As new use cases and technological advances arise, the network should frequently and seamlessly upgrade without interrupting users. Infrastructure concerns should fade into the background. Developers and users will have access to many different options for key recovery, data modeling, smart contract standards, resource usage trade- offs, privacy, and composability. Users know that their assets are secure, always available, and can be accessed with near at-cost fees. Anyone can safely, easily, and immutably transact with untrusted parties worldwide. Blockchains are as ubiquitous as cloud infrastructure.
"
14,1c61ea9a-0b24-4c8c-95d9-7ff4b4935256,"

To achieve this vision, significant technological advances must be made. Our experiences building, developing, advancing, and deploying the Diem blockchain (the predecessor of the Aptos blockchain) over the past three years have proven that a network can continually upgrade its protocols without disrupting its clients [4]. The Diem mainnet was deployed to more than a dozen node operators with multiple wallet providers in early 2020. Over the following year, our team issued two major upgrades that changed the consensus protocol and the core framework. Both upgrades completed without downtime for users. With the Aptos blockchain, we have made a series of radical improvements to the technology stack while also incorporating safe, transparent, and frequent upgrades as a core feature, as inspired by the Diem blockchain. In particular, we highlight novel methods of transaction processing (as described in Section 7) and new approaches to decentralization and network governance.
"
15,64902681-f3fc-4cd2-9399-ba8af6cc9af5,"

As the Aptos blockchain continues to improve and grow, we will issue refreshed versions of this white paper with the latest iteration of our protocols and design choices. In the rest of this document, we describe the current state of the Aptos blockchain as well as future plans.
"
16,d522f235-3ede-4d79-ba10-0f802afb5bfd,"

## 3 Overview
The Aptos blockchain, as shown in Figure 1, is comprised of a set of validators that jointly receive and process transactions from users using a byzantine fault-tolerant (BFT), proof-of-stake consensus mechanism. Token holders lock up, or stake, tokens in their selected validators. Each validator’s consensus voting weight is proportionate to the amount staked into it. A validator can be active and participate in consensus. Likewise, a validator may also be inactive if it does not have enough stake to participate, rotates out of the validator set, elects to be offline as it synchronizes blockchain state, or is deemed not participating by the consensus protocol due to poor historical performance.
"
17,5864ed65-fdf9-4a49-a189-8370d2d78bc4,"

Clients are any part of the system that need to submit transactions or query the state and history of the blockchain. Clients can choose to download and verify validator signed proofs of queried data. Full nodes are clients that replicate the transaction and blockchain state from the validators or from other full nodes in the network. They may elect to prune transaction history and blockchain state as desired to reclaim storage. Light clients only maintain the current set of validators and can query partial blockchain state securely, typically from full nodes. Wallets are a common example of a light client.
"
18,22b9af45-0c1a-4e18-ada7-6e2c73d1cfdf,"

To meet the needs of safe, fast, reliable, and upgradeable web3 infrastructure for widespread adop- tion, the Aptos blockchain is built on the following core design principles:
- Fast and secure execution along with simple auditability and mechanical analyzability via a new smart contract programming language, Move [5]. - Move originated with the predecessor to the Aptos blockchain and continues to progress with the evolution of this project.
- Extremely high throughput and low latency through a batched, pipelined, and parallelized ap- proach to transaction processing.
- Novel parallel transaction processing that efficiently supports atomicity with arbitrarily complex transactions through Block-STM, unlike existing parallel execution engines that require upfront knowledge of data locations to be read and written.
- Optimizations for performance and decentralization via rapid, stake-weight validator set rotation and reputation tracking.
- Upgradeability and configurability as first-class design principles to embrace new use cases and the latest technology.
- Modular designs that enable rigorous component level testing along with appropriate threat modeling and seamless deployment, all ensuring highly secure and reliable operations.
- Horizontal throughput scalability while preserving decentralization, where sharding is a first-class concept exposed to users and native to the programming and data model.
<!--  1. Aptos blockchain\n2. High throughput\n3. Low latency\n4. State synchronization protocol\n5. Resource constraints -->


Section 4 explains how developers interact with Move in the Aptos blockchain. Section 5 describes the logical data model. Section 6 details how the Aptos blockchain enables a safe user experience through strong verification methods. Section 7 describes key performance innovations around pipelining, batch- ing, and parallelization. Section 8 details various options for different clients to synchronize state with other nodes. Section 9 describes our plans for community ownership and governance. Finally, Section 10 discusses future performance directions while maintaining decentralization.
"
19,7e42ee40-1dca-47e6-aa17-b8e7e4aa5638,"


## 4 The Move language
Move is a new smart contract programming language with an emphasis on safety and flexibility. The Aptos blockchain uses Move’s object model to represent its ledger state (see Section 5.5) and uses Move code (modules) to encode rules of state transitions. Users submit transactions that can publish new modules, upgrade existing modules, execute entry functions defined within a module, or contain scripts that can directly interact with the public interfaces of modules.
"
20,74ed1dfa-9e22-4147-9615-d4e1b826f933,"

The Move ecosystem contains a compiler, a virtual machine, and many other developer tools. Move is inspired by the Rust programming language, which makes the ownership of data explicit in the language via concepts like linear types. Move emphasizes resource scarcity, preservation, and access control. Move modules define the lifetime, storage, and access pattern of every resource. This ensures that resources like Coin are not produced without appropriate credentials, cannot be double spent, and do not disappear.
"
21,0da59991-ca7a-41bb-9ad2-a943faf51b50,"

Move leverages a bytecode verifier to guarantee type and memory safety even in the presence of untrusted code. To help write more trusted code, Move includes a formal verifier, the Move Prover [6], capable of verifying the functional correctness of a Move program against a given specification, formulated in the specification language integrated into Move.
"
22,e9efbf72-a9ff-4b93-b1f7-3fdc576165b6,"


Beyond the user accounts and corresponding account content, the ledger state also contains the on-chain configuration of the Aptos blockchain. This network configuration includes the set of active validators, staking properties, and the configuration of various services within the Aptos blockchain. Move’s support for module upgradeability and comprehensive programmability enables seamless con- figuration changes and supports upgrades to the Aptos blockchain itself (both sets of upgrades have been executed multiple times with zero downtime on a private mainnet).
"
23,52bc2f9c-4ce7-4b14-a5dc-85e080fb4fb1,"

The Aptos team has further enhanced Move with support for broader web3 use cases. As mentioned later in Section 5.5, the Aptos blockchain enables fine-grained resource control. Not only does this support parallelization of execution, but it also achieves a near-fixed cost associated with accessing and mutating data. Moreover, the Aptos blockchain provides table support built on top of fine-grained storage, which allows for large-scale datasets (e.g., massive collections of NFTs) in a single account. Furthermore, Aptos supports shared or autonomous accounts that are represented entirely on-chain. This allows complex decentralized autonomous organizations (DAOs) to collaboratively share accounts, as well as use these accounts as containers for a heterogeneous collection of resources.
"
24,2bb593fb-b5f8-41b6-ba64-cb9b3c026a8f,"

## 5 Logical data model
The ledger state of the Aptos blockchain represents the state of all the accounts. The ledger state is versioned using an unsigned 64-bit integer corresponding to the number of transactions the system has executed. Anyone can submit a transaction to the Aptos blockchain to modify the ledger state. Upon execution of a transaction, a transaction output is generated. A transaction output contains zero or more operations to manipulate the ledger state (called write sets), a vector of resulting events (see Section 5.1.1), the amount of gas consumed, and the executed transaction status.
"
25,ff6988f3-7734-4cde-8ffe-e3734fafd97b,"


### 5.1 Transactions
A signed transaction contains the following information:
- Transaction authenticator: The sender uses a transaction authenticator that includes one or more digital signatures to verify that a transaction is authenticated.
- Sender address: The account address of the sender.
- Payload: The payload either refers to an existing entry function on-chain or contains the function to be executed as inlined bytecode (called a script). In addition, a set of input arguments is encoded in byte arrays. For a peer-to-peer transaction, the inputs contain the recipient’s information and the amount transferred to them.
- Gas price (in specified currency/gas units): This is the amount the sender is willing to pay per unit of gas to execute the transaction. Gas is a way to pay for compute, networking, and storage. A gas unit is an abstract measurement of computation with no inherent real-world value.
- Maximum gas amount: The maximum gas amount is the maximum gas units the transaction is allowed to consume prior to aborting. The account must have at least the gas price multiplied by the maximum gas amount or the transaction will be discarded during validation.
- Sequence number: The sequence number of the transaction. This must match the sequence number stored in the sender’s account when the transaction executes. Upon successful transac- tion execution, the account sequence number is incremented to prevent replay attacks.
- Expiration time: A timestamp after which the transaction ceases to be valid.
- Chain id: Identifies the blockchain that this transaction is valid for, offering further protection for users to prevent signing errors.
<!--  1. Ledger state\n2. Unsigned 64-bit integer\n3. Transaction submission\n4. Transaction output\n5. Write sets -->

At each version i, the state change is represented by the tuple (Ti,Oi,Si), containing the transaction, transaction output, and the resulting ledger state, respectively. Given a deterministic function Apply, the execution of transaction Ti with ledger state Si−1 produces the transaction output Oi and a new ledger state Si. That is, Apply(Si−1, Ti) → ⟨Oi, Si⟩.


#### 5.1.1 Events
Events are emitted during the execution of a transaction. Each Move module can define its own events and select when to emit these events upon execution. For example, during a coin transfer, both the sender and receiver’s accounts will emit SentEvent and ReceivedEvent, respectively. This data is stored within the ledger and can be queried via an Aptos node. Each registered event has a unique key and the key can be used to query event details.
"
26,a432d78d-d503-4640-a4ae-9a3f23a92417,"


Multiple events emitted to the same event key produce event streams, a list of events with each entry containing a sequentially increasing number beginning at 0, a type, and data. Each event must be defined by some type. There may be multiple events defined by the same or similar types, especially when using generics. Events have associated data. For Move module developers, the general principle is to include all data necessary to understand the changes to the underlying resources before and after the execution of the transaction that changed the data and emitted the event.
"
27,bca0c0b5-d034-425f-88a2-5f5e2d2251ac,"


Transactions can only generate events and cannot read events. This design allows transaction execution to be a function only of the current state and transaction inputs, not historical information (e.g., previously generated events).
"
28,5dae284c-3d12-430b-bda4-b7d9275a8ae5,"

### 5.2 Accounts
Each account is identified by a unique 256-bit value known as an account address. A new account is created in the ledger state (see Section 5.5) when a transaction sent from an existing account invokes the create_account(addr) Move function. This typically happens when a transaction attempts to send Aptos tokens to an account address that has not yet been created. For convenience, Aptos also supports a transfer(from, to, amount) function that implicitly creates an account if it does not already exist prior to the transfer.
"
29,f736fb27-2bac-489d-b529-4a42223cab72,"



To create a new account, a user first generates a signature key-pair: (vk, sk). Next, the new account address for a given signature scheme is derived using the cryptographic hash H of the public verification key vk that is concatenated with the signature scheme identifier (ssid): where addr = H(vk, ssid).
"
30,d6502f46-46de-490d-add4-1e2f46fc45cc,"


After the new account is created at address addr, the user can sign transactions to be sent from the account at addr, using the private signing key sk. The user can also rotate sk, either to proactively change sk or to respond to a possible compromise. This will not change the account address, as the account address is derived only once, during its creation, from the public verification key.
"
31,02402b0b-d4ca-4833-ab5a-d29609eba346,"


The Aptos blockchain does not link accounts to a real-world identity. A user can create multiple accounts by generating multiple key-pairs. Accounts controlled by the same user have no inherent link to each other. However, a single user can still manage multiple accounts in a single wallet for simple asset management. This flexibility provides pseudonymity for users while we experiment with privacy-preserving primitives for future releases. Multiple accounts owned by a single user or a set of users also provide channels to increase execution concurrency, as described in Section 7.4.
"
32,9b6f4c41-37ed-4757-b55a-f0f7d42e32b9,"


### 5.3 Move modules
A Move module contains Move bytecode that declares data types (structs) and procedures. It is identified by the address of the account where the module is declared along with a module name. For example, the identifier for the first currency module in Figure 2 is 0x1::coin. A module can depend on other on-chain modules, as shown by the wallet module in Figure 2, enabling code reuse.
"
33,c958df63-552e-4e75-8723-3fd300d8bb1e,"


A module must be uniquely named within an account, i.e., each account can declare at most one module with any given name. For example, the account at address 0x1 in Figure 2 could not declare another module named coin. On the other hand, the account at address 0x3 could declare a module named coin and the identifier of this module would be 0x3::coin. Note that 0x1::coin::Coin and 0x3::coin::Coin are distinct types and cannot be used interchangeably nor share common module code. In contrast, 0x1::coin::Coin<0x2::wallet::USD> and 0x1::coin::Coin<0x2::wallet::JPY> are different instantiations of the same generic type that cannot be used interchangeably but can share common module code.
"
34,e0ab82e2-debe-4f14-9c3b-7e36ca302d32,"


Modules are grouped into packages located at the same address. An owner of this address publishes the package as a whole on-chain, including the bytecode and package metadata. The package meta- data determines whether a package can be upgraded or is immutable. For an upgradeable package, compatibility checks are performed before the upgrade is permitted: no existing entry point functions must be changed and no resources can be stored in memory. However, new functions and resources can be added.
modules (see Section 9.2).
"
35,3f8f226f-4a4f-45be-a0e5-8fb9aa7787a7,"

The Aptos framework, consisting of the core libraries and configuration for the Aptos blockchain, is defined as a regular upgradeable package of 
"
36,cc0f72e7-a84e-42cf-81e3-b01274870e58,"


### 5.4 Resources
Similar to modules, account addresses can also have data values associated with them. Within each account address, the values are keyed by their types, with at most one value of each type belonging to the account. Figure 3 provides an example of this. Address 0x50 holds a single value, with 0x3::coin::Coin being the fully-qualified type. 0x3 is the address where the coin module is stored, coin is the name of the module and Coin is the name of the data type. Values of generic types are also allowed, with different instantiations being treated as distinct types. This is essential for extensibility, allowing different instantiations to share the same functional code.
"
37,d6a9ccbe-1916-468a-9302-ce06f910d179,"


The rules for mutating, deleting, and publishing a value are encoded in the module that defines the data type. Move’s safety and verification rules prevent other code or entities from directly creating, modifying, or deleting instances of data types defined in other modules.
Having at most one top-level value of each type under an address may at first sound limiting. However, this is not a problem in practice as programmers can define wrapper types with other data as internal fields, thus avoiding any limitations. The Wallet struct in Figure 3 is an example of how to use wrapper types.
"
38,9fafa4f8-ee26-4c2c-8bc7-793595696c34,"


It should also be noted that not all data types can be stored on-chain. For data instances to qualify as top-level values, the data type must have the key ability. Similarly, the store ability is required for nested values. Data types with both abilities are also called resources.
"
39,21072aa4-7471-4ab7-a04b-50eec379886e,"


### 5.5 Ledger state
From the perspective of the Move virtual machine (Move VM), each account consists of a set of values and key-value data structures. These data structures are called table entries and are stored in the Binary Canonical Serialization format (BCS). This data layout enables developers to write smart contracts that can operate efficiently on small amounts of data replicated across a large number of accounts, as well as on large amounts of data stored in a small number of accounts. Move modules are stored similarly to account data but under an independent namespace. The genesis ledger state defines the initial set of accounts and their associated state at blockchain initialization.

"
40,ee5b7f55-27e1-4022-b414-19a1ecac201c,"

At launch, the Aptos blockchain will be represented by a single ledger state. However, as adoption increases and technology develops, Aptos will scale up the number of shards to increase throughput (i.e., enable multiple ledger states) and support transactions that move or access assets across shards. Each ledger state will maintain all on-chain assets for the specific shard and provide the same account model with a fine-grained, <!-- 1. Ledger state\n2. On-chain assets\n3. Shard\n4. Key-value data store\n5. Storage access-->


## 6 A safe user experience
To reach billions of Internet users, the web3 user experience must be safe and accessible. In the sections below, we describe several innovations provided by the Aptos blockchain that work towards this goal.
"
41,3d3804b6-2d52-462b-8a75-7248d5cd1b78,"


### 6.1 Transaction viability protection
Signing a transaction means that the signer authorizes the transaction to be committed and executed by the blockchain. Occasionally, users may sign transactions unintentionally or without fully considering all the ways in which their transactions might be manipulated. To reduce this risk, the Aptos blockchain constrains the viability of every transaction and protects the signer from unbounded validity. There are currently three different protections provided by the Aptos blockchain - the sender’s sequence number, a transaction expiration time, and a designated chain identifier.
"
42,97e80aa4-c74d-4e24-a853-7199e78d5188,"

- A transaction’s sequence number can only be committed exactly once for each sender’s account. As a result, senders can observe that if the current account sequence number is ≥ the sequence number of a transaction t, then either t has already been committed or t will never be committed (as the sequence number used by t has already been consumed by another transaction).
- The blockchain time advances with high precision and frequency (typically sub-second), as de- tailed in Section 7.3.1. If the blockchain time exceeds the expiration time of transaction t, then similarly, either t has already been committed or t will never be committed.
- Every transaction has a designated chain identifier to prevent malicious entities from replaying transactions between different blockchain environments (e.g., across a testnet and mainnet).
<!-- 1. Transaction\n2. Chain identifier\n3. Malicious entities\n4. Replaying transactions\n5. Testnet and mainnet-->


### 6.2 Move-based key management
As discussed in Section 5.2, Aptos accounts support key rotation, an important feature that can help reduce the risks associated with private key compromise, long-range attacks, and future advances that might break existing cryptographic algorithms. In addition, Aptos accounts are also flexible enough to enable new hybrid models of custody. In one such model, a user can delegate the ability to rotate the account’s private key to one or more custodians and other trusted entities. A Move module can then define a policy that empowers these trusted entities to rotate the key under specific circumstances. For example, the entities might be represented by a k-out-of-n multi-sig key held by many trusted parties and offer key recovery services to prevent user key loss (e.g., 20% of Bitcoin is currently locked up in unrecoverable accounts [7]).
"
43,4ea60492-c617-459d-b05e-1be9ea82771d,"


Moreover, while many wallets support various key recovery schemes, such as backing up private keys to cloud infrastructure, multi-party computation, and social recovery, they are typically implemented without blockchain support (i.e., off-chain). As a result, each wallet needs to implement its own key management infrastructure and related operations become opaque to users. In contrast, supporting key management 
functionality at the Aptos blockchain layer provides full transparency of all key-related operations and makes it simpler to implement a wallet with rich key management.
"
44,706b992a-8ee3-4334-bb9f-acdf662d52f2,"

### 6.3 Pre-signing transaction transparency
Today, wallets provide very little transparency about the transactions they sign. As a result, users are often easily tricked into signing malicious transactions that may steal funds and have devastating consequences. This is true even for blockchains that require enumerating all on-chain data accessed by each transaction. As a result, there are few user safeguards currently in place, making users vulnerable to a wide variety of attacks.
"
45,a5287388-2374-478d-b1ec-4bf9a5f98a0a,"


To address this, the Aptos ecosystem provides services for transaction pre-execution: a precaution- ary measure that describes to users (in human-readable form) the outcomes of their transactions prior to signing. Pairing this with a known history of prior attacks and malicious smart contracts will help to reduce fraud. In addition, Aptos also enables wallets to dictate constraints on transactions during execution. Violating these constraints will result in the transactions being aborted, to further protect users from malicious applications or social engineering attacks.
"
46,7f6b2ffc-dbf7-4133-8090-9bb27a5cd22e,"


### 6.4 Practical light client protocols
Relying solely on the TLS/SSL certificates of API providers to establish trust between blockchain clients and servers does not protect clients sufficiently. Even in the presence of valid certificates, wallets and clients have no guarantees as to the authenticity and integrity of the data being presented

to them. As a result, API providers may return incorrect or malicious blockchain data, deceiving third parties and performing double-spend attacks.
"
47,1e3a78d2-0c23-45d4-8d19-e5c7ad5542ab,"


To prevent this, Aptos provides state proofs and light client verification protocols that can be used by wallets and clients to verify the validity of data being presented by an untrusted third-party server. Moreover, by leveraging the timestamp-based state proofs in Section 7.6.2, light clients can always ensure tight bounds on the freshness of account state (e.g., within seconds) and only need to track changes in the network configuration (epoch changes) or use current trusted checkpoints (waypoints) to stay up-to-date [8]. By combining high-frequency timestamps and inexpensive state proofs, the Aptos blockchain provides increased security guarantees to clients.
"
48,78ec0a38-0057-473d-bb04-1f0b4e0786c1,"


In addition, Aptos nodes also expose rich, high-performance storage interfaces that can be further fine-tuned to allow subscriptions to proofs targeting specific data and accounts on-chain. This can be leveraged by light clients to retain minimal verifiable data without the need to run a full node or process a substantial number of transactions.
"
49,cd4663da-5714-44d0-8467-6c79fe8bffdb,"


## 7 Pipelining, batching, and parallel transaction processing
To maximize throughput, increase concurrency, and reduce engineering complexity, transaction pro- cessing on the Aptos blockchain is divided into separate stages. Each stage is completely independent and individually parallelizable, resembling modern, superscalar processor architectures. Not only does this provide significant performance benefits, but also enables the Aptos blockchain to offer new modes of validator-client interaction. For example:
- Clients can be notified when specific transactions have been included in a batch of persisted transactions. Persisted and valid transactions are highly likely to be committed imminently.
- Clients can be informed when a batch of persisted transactions has been ordered. Thus, to reduce the latency of determining the executed transaction outputs, clients can select to execute transactions locally rather than wait for the validators to complete execution remotely.
- Clients can elect to wait for certified transaction execution by the validators and perform state synchronization on the attested results (e.g., see section 8).
<!-- 1. Maximize throughput\n2. Increase concurrency\n3. Engineering complexity\n4. Aptos blockchain\n5. Superscalar processor architectures-->


The Aptos modular design aids development speed and supports faster release cycles, as changes can be targeted to individual modules, instead of a single monolithic architecture. Similarly, the modular design also provides a structured path to scaling validators beyond a single machine, providing access to additional compute, network, and storage resources. Figure 4 shows the transaction life cycle across the various processing stages.
"
50,abfe47ed-c028-4dca-b96f-d06d554786dd,"


### 7.1 Batch processing
Batch processing is an important efficiency optimization that is part of every phase of operation in the Aptos blockchain. Transactions are grouped into batches by each validator during transaction dissemination, and batches are combined into blocks during consensus. The execution, storage, and

ledger certification phases also work in batches to provide opportunities for reordering, reduction of operations (e.g., duplicate computation or signature verification), and parallel execution.
"
51,18e7589b-ad05-4367-8e89-51d0d75fb9e2,"


Grouping transactions into batches can induce small amounts of latency, for example, waiting 200 milliseconds to accumulate a batch of transactions before performing dissemination. However, batching is easily configurable with respect to a maximum waiting period and maximum batch size, enabling a decentralized network to automatically optimize across latency and efficiency. Batching also allows for efficient fee markets to prioritize transactions and avoid unintended denial-of-service (DoS) attacks from overzealous clients.
"
